
# File: Shinjitai-Kyūjitai.txt
# Version: 1.74
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: Compatibility
U+7985 U+79AA
U+9A28 U+9A52	*

# Group: 𰋷・嬰
U+302F7 U+5B30	*
U+685C U+6AFB
U+73F1 U+74D4	*

# Group: 楽・樂
U+697D U+6A02
U+85AC U+85E5
U+40EF U+792B	*
U+6AAA U+6ADF	*
U+237FF U+3C1B	*
U+2C7E5 U+27184	*
U+2B29A U+31FCC	*
U+2D8AB U+64FD	*
U+2DD92 U+720D	*
U+2E769 U+8F62	*
U+2E8CF U+9460	*

# Group: 真・眞
U+771F U+771E
U+614E U+613C
U+93AE U+93AD
U+586B U+5861	*
U+69D9 U+69C7	*
U+7AB4 U+259D1	*
U+985B U+985A	*
U+5DD4 U+5DD3	*
U+9DCF U+9DC6	*

# Group: 渋・澁
U+6E0B U+6F81

# Group: 塁・壘
U+5841 U+58D8

# Group: 摂・攝
U+6442 U+651D

# Group: 粛・肅
U+7C9B U+8085
U+4525 U+856D	*
U+5628 U+562F	*
U+7C18 U+7C2B	*
U+7E4D U+7E61	*
U+29976 U+9A4C	*

# Group: 参・參
U+53C2 U+53C3
U+60E8 U+6158

# Group: 㑒・僉
U+3452 U+50C9	*
U+5039 U+5109
U+5263 U+528D
U+691C U+6AA2
U+967A U+96AA
U+9A13 U+9A57
U+3A98 U+6582	*
U+2DCA0 U+7032	*
U+3C38 U+6B5B	*
U+5271 U+5292	*
U+9E78 U+9E7C	*
U+2074F U+528E	*
U+21E34 U+5DAE	*
U+22BA6 U+64BF	*
U+251E5 U+77BC	*

# Group: 亦・𰁜・䜌
U+86EE U+883B
U+5909 U+8B8A
U+604B U+6200
U+6E7E U+7063

# Group: 両・兩
U+4E21 U+5169
U+8F0C U+8F1B	*
U+20213 U+5006	*
U+2DC69 U+2DC9E	*

# Group: ⿱艹両・㒼
U+6E80 U+6EFF
U+2285B U+61E3	*
U+2521E U+779E	*

# Group: 麦・麥
U+9EA6 U+9EA5
U+9EBA U+9EB5

# Group: 豊・豐
U+8C4A U+8C50
U+8276 U+8277
U+7054 U+7067	*
U+21929 U+21938	*
U+50FC U+34A5	*
U+21F4D U+3826	*
U+21ACB U+5BF7	*
U+6FA7 U+7043	*
U+27C1F U+8C54	*
U+704E U+7069	*
U+31FA7 U+8634	*
U+8C51 U+8C52	*
U+27C1A U+8C53	*
U+9137 U+9146	*
U+973B U+974A	*
U+4D44 U+9EB7	*
