
# File: Layout.txt
# Date: 2023-06-05
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+22A2F U+22A33
U+708F U+708E
U+660D U+660C
U+660D U+2D957
U+23956 U+23955
U+2D448 U+302DF
U+726A U+24627
U+30664 U+31942
U+30015 U+30012
U+5586 U+2152F
U+81F8 U+2C6F3
U+268E6 U+2B1C6
U+68D8 U+68D7
U+235E5 U+2C0F7
U+8AA9 U+27A1F
U+23610 U+2DADD
U+3BE4 U+20407
U+29850 U+2984C
U+29233 U+29232
U+9A33 U+2994B
U+4C86 U+29EB0
U+23BDE U+23BD3

# Group: ⿰①②・⿱①②
U+665B U+34BB	≈
U+8E2B U+2809E	≈
U+5D8B U+5D8C
U+5D0E U+37E2
U+FA11 U+5D5C
U+21E54 U+5D29
U+4CDF U+2A0A1
U+23298 U+2CD45
U+233EC U+6773
U+67D1 U+24BC3
U+30578 U+6630
U+668F U+6691
U+25788 U+2578C
U+4D52 U+2A3F0
U+20BD0 U+20BED
U+6C13 U+23C45
U+2388B U+30162
U+24F4A U+24F4F
U+2316A U+6606
U+24FCE U+3FEB
U+6BD7 U+6BD8
U+25BE1 U+2B7BE
U+9D5D U+9D5E
U+4CD8 U+4CD7
U+4CE1 U+2A0A3
U+79C6 U+2575D
U+65F0 U+65F1
U+24C1F U+24C20
U+5C7D U+21D43
U+5CA8 U+2D58D
U+67E4 U+67FB
U+241C5 U+241D9
U+2C041 U+2320D
U+6612 U+6613
U+2BD81 U+21E11
U+5DD1 U+21FCD
U+37A8 U+21D47
U+9B42 U+4C1F
U+5CF0 U+5CEF
U+29FF6 U+9D26
U+6620 U+2AC14
U+5CD2 U+5CDD
U+2D964 U+2317B
U+232BF U+232C2
U+4DB7 U+5144
U+22027 U+31719
U+2AC52 U+66E9
U+6696 U+3B0A
U+3160B U+21541
U+264B5 U+3588
U+264B5 U+439B
U+264C4 U+2CD16
U+552D U+20D29
U+2AF4E U+2AF4D
U+52C8 U+52C7
U+667E U+666F
U+20BEC U+8DB3
U+674D U+674E
U+96BF U+28F8D
U+29FA2 U+9CF6
U+29FB7 U+2CDC1
U+579F U+26352
U+316C5 U+21D3B
U+2395E U+2395F
U+2DFA0 U+2DF9E
U+4018 U+25173
U+25439 U+31CED
U+63C5 U+254E8
U+412F U+2576F
U+2E036 U+254E8
U+5CAB U+5CC0
U+3826 U+21FBF
U+2A008 U+9D1B
U+2D5E8 U+21FBA
U+7565 U+7567
U+5DAC U+3816
U+468E U+27886
U+2A0B9 U+2A0E3
U+2A156 U+2A18A
U+26976 U+8205
U+31E40 U+31F2F
U+5DAB U+5DAA
U+3564 U+2D1B8
U+9CE9 U+4CA5
U+2C4E0 U+79C3
U+2DE24 U+30160
U+21F15 U+5DB2
U+20C18 U+20C44
U+275B0 U+275B1
U+32019 U+275C5
U+2E560 U+30CE8
U+5DB5 U+3811
U+21FC7 U+21FCF
U+66EA U+2DA12
U+2D97B U+3AE7
U+4088 U+45A5
U+2347A U+27253
U+231A3 U+30CAD
U+2722C U+2722B
U+6755 U+2A944
U+661E U+663A
U+772A U+25159
U+5450 U+5459
U+21F11 U+380B
U+6980 U+2358E
U+25F2F U+31E5B
U+29D40 U+29D42
U+67D8 U+318C6
U+31C79 U+2B83F
U+5CCF U+8011
U+5CC8 U+5CC9
U+6638 U+3AE1
U+9D61 U+2B6C1
U+26666 U+225EF
U+31FDC U+2D72B
U+8A2B U+60A5
U+5423 U+225C0
U+216BF U+38FD
U+677A U+225E6
U+25E40 U+2263B
U+2127E U+225BD
U+23175 U+225ED
U+2C313 U+2C314
U+204C7 U+313EE
U+21D85 U+21D86
U+5D1D U+21E3A
U+3584 U+2D1EB
U+916C U+28829
U+2AC22 U+2332E
U+66E0 U+232F7
U+21BA5 U+21BA3
U+316A5 U+21B6C
U+21BAC U+21BAE
U+3223E U+3223F
U+37DE U+21E1A
U+79CB U+241EB
U+2BBE1 U+2A948
U+20CB3 U+28217
U+548C U+357F
U+548A U+20C13
U+3068F U+2DBD2
U+4CF5 U+2A12A
U+40BE U+254DC
U+3F56 U+7537
U+3523 U+208BF
U+9E13 U+4D0E
U+2342C U+2342D
U+21EF1 U+21EED
U+21FD4 U+21FDC
U+21D9A U+5CC0
U+21F8A U+21F8B
U+24C44 U+2DEC5
U+5D67 U+2BD8C
U+3820 U+2BDA2
U+2B02A U+24C5C
U+24C7C U+24C86
U+24C3C U+3F5A
U+24C13 U+308B4
U+2DA59 U+2AC71
U+5413 U+2D1BC
U+2D584 U+2AA22
U+21EC5 U+2D5C3
U+4D19 U+2CE2F
U+9E0A U+9DFF
U+9D2A U+7AB5
U+9D27 U+7AB5
U+9D42 U+2A02A
U+9D77 U+2A0A6
U+9E55 U+2B6F7
U+9D98 U+9DA6
