
# File: Addition.txt
# Version: 1.14
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+8DBC U+8DF0
U+282BB U+8EFF
U+488E U+8FF8
U+90A2 U+90F1
U+9203 U+927C
U+29496 U+9829
U+29A44 U+9ABF
U+9CFD U+9D67
U+5211 U+206FC
U+5C8D U+21E2B
U+24735 U+24774
U+412F U+257A9
U+437E U+26435
U+26ACD U+26ACF
U+27667 U+276AD
U+27CA8 U+27CC9
U+28567 U+285D9
U+28E26 U+28E57
U+2A53E U+2A552
U+2A5DB U+2A600
U+3543 U+2A806
U+28406 U+2B40C
U+2B6DA U+2B6E8
U+549E U+2D1F4
U+31AA9 U+2DD21
U+5F62 U+30428
U+2C672 U+30B59	≈
U+9498 U+30F7C

# Group: 丷 (Above) | 豕・㒸
U+8C55 U+34B8
U+23D60 U+3D1A
U+29A52 U+4BDF
U+210F1 U+56BA
U+70FC U+716B
U+9010 U+9042
U+20F56 U+2101F
U+2140C U+2145E
U+2AFEF U+7908
U+28103 U+2818F
U+285C9 U+9083
U+2E946 U+968A
U+2B980 U+2076E
U+5544 U+20E0C
U+2174D U+217DD
U+5BB6 U+21A59
U+2E7BC U+2E7CF
U+3B6C U+2353E
U+235C3 U+2147B
U+24244 U+242CC
U+87F8 U+27511
U+28307 U+28368
U+7524 U+2C3BC
U+8C5A U+2C6CA

# Group: 丷 (Above) | 万・⿱丷万
U+211AD U+211CF
U+8FC8 U+2E78D

# Group: 丷 (Above) | 固・𡇤
U+56FA U+211E4

# Group: 八 (Above) | 女・𭑨
U+5973 U+2D468
U+29DD1 U+311B6
U+9681 U+3225E

# Group: 八 (Below) | 𫳂・寅
U+2BCC2 U+5BC5
U+2A863 U+20EE4

# Group: 冖 (Above) | 卜・㓀
U+535C U+34C0

# Group: 冖 (Above) | 託・㓃
U+8A17 U+34C3

# Group: 冖 (Above) | 且・冝
U+4E14 U+519D
U+2AF64 U+758A
U+75BD U+24DA2
U+278DE U+278EC
U+8A5B U+27A0F
U+2A435 U+2A44E
U+7956 U+2B7B5
U+86C6 U+2E50E
U+5765 U+315B4

# Group: 冖 (Above) | 顛・𠖩
U+985B U+205A9

# Group: 𠃊 (Outside) | 𠧪・𠧴
U+209EA U+209F4
U+238E7 U+238F8

# Group: 𠃊 (Outside) | 舟・⿺𠃊舟
U+26A24 U+26A3A

# Group: 𠃊 (Outside) | 𢆶・𢆸
U+221B6 U+221B8

# Group: 𠃊 (Outside) | 米・⿺𠃊米
U+8A78 U+46E7
U+427C U+65AD
U+42DB U+7D99
U+772F U+251C6
U+7C7B U+25E38
U+25E6B U+25E87
U+2E829 U+28845
U+2DA7D U+2AC9B
U+6D23 U+2AD88
U+25E55 U+2C59C

# Group: 𠃍 (Outside) | 手・𫼓
U+624B U+2BF13

# Group: 冂 (Outside) | 米・𭁨
U+7C73 U+2D068
U+25B41 U+25BAB
U+24944 U+30882
U+28037 U+30E17

# Group: 冂 (Outside) | 并・⿵冂并
U+6D34 U+2DC32

# Group: 凵 (Outside) | 米・𱐍
U+7C73 U+3140D
U+54AA U+20D91
U+6C23 U+23C65
U+6D23 U+2AD95
U+42DB U+2E21F

# Group: 勹 (Outside) | 幺・𠣎
U+5E7A U+208CE

# Group: 勹 (Outside) | 𦍝・𦍿
U+2635D U+2637F

# Group: 匚・匸 (Outside) | 貴・匱
U+8CB4 U+5331
U+58A4 U+367A
U+8562 U+455A
U+6A3B U+6AC3
U+7C23 U+7C44
U+9400 U+944E
U+50D3 U+203FA
U+5B07 U+218D3
U+648C U+22DF4
U+7E62 U+261A0
U+97BC U+29368
U+293E1 U+293F1
