
# File: Unifiable.txt
# Version: 1.59
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+51E0 U+5140
U+5197 U+20576
U+22A81 U+628F
U+8281 U+26B02
U+9AE0 U+9AE1
U+20629 U+20910
U+21D42 U+21D67
U+250EF U+250FA
U+25A55 U+25A57
U+27FCA U+27FD9
U+29078 U+29081
U+2D0AC U+2D01D	*
U+4EC9 U+3433	*
U+53FD U+20BBE	*
U+37A6 U+5C7C	*
U+22A6B U+6264	*

# Group: UCV-215 (今・𫝆)
U+4ECA U+2B746

# Group: UCV-217 (𠃬・)
U+25678 U+256C8

# Group: UCV-218 (・𢏚)
U+2211B U+22142
U+246D2 U+246F4
U+2649E U+2649B
U+264AB U+264AF
U+264C6 U+264C3
U+288AB U+288CA

# Group: UCV-220 (殳・⿱勹又)
U+6B81 U+6B7F
U+6CA1 U+6C92
U+80A1 U+2663F
U+24904 U+248FB

# Group: UCV-220a (殳・𪠲)
U+6CA1 U+23CDA
U+6BB9 U+253CF
U+28A3B U+28AC1
U+28C5A U+28C6E
U+4F07 U+2CF79
U+206B9 U+2D0D2
U+5F79 U+2D6E0
U+6295 U+2D818
U+6B81 U+2DB88
U+2BA3B U+2DBAD
U+3C7F U+2DBB0
U+6BB7 U+2DBB1
U+6BB8 U+2DBB6
U+23AB5 U+2DBBA
U+6BC4 U+2DBBC
U+822C U+2E386
U+8A2D U+2E602
U+8ED7 U+2E747

# Group: UCV-221 (丌・兀)
U+4E0C U+5140
U+4E93 U+5143
U+36A6 U+216B2
U+47DA U+27FD9
U+25F8E U+25F95
U+27FC4 U+27FC1

# Group: UCV-222 (儿・八)
U+513F U+516B
U+56DB U+211A6
U+8C8C U+27CD6
U+485A U+28313
U+21FDA U+21FDF
U+23D1F U+23D3C
U+26394 U+2638A
U+266EE U+266E4

# Group: UCV-227 (賣・𧶠)
U+8CE3 U+27DA0

# Group: UCV-228 (术・朮)
U+6038 U+6037
U+672F U+672E
U+26CEF U+8481

# Group: UCV-229 (林・𣏟)
U+6797 U+233DF
U+83FB U+26C4D
U+23F7D U+6F78

# Group: UCV-230 (麻)
U+75F3 U+75F2

# Group: UCV-232 (尓・尔・尒)
U+5C13 U+5C14
U+26673 U+23368
U+279C2 U+279BD
U+24C4F U+2C3C2

# Group: UCV-233 (木・朩)
U+6728 U+6729

# Group: UCV-238 (网・𦉳)
U+7F51 U+26273

# Group: UCV-239 (大・犬)
U+596C U+734E
U+623B U+623E
U+6D99 U+6DDA
U+8FBE U+8FD6
U+3432 U+4F0F
U+20BC8 U+5420
U+5927 U+72AC
U+5936 U+3E5C
U+5956 U+247D2
U+5958 U+2479B
U+595C U+7306
U+5FD5 U+225D7
U+6277 U+22ABA
U+6755 U+67A4
U+6C4F U+6C71
U+21681 U+7358
U+8296 U+26B2B
U+28D62 U+95C3
U+99B1 U+4B7E
U+2A41D U+9ED8
U+369F U+247ED
U+22A82 U+39CB
U+23AA8 U+3E89
U+4CA6 U+29FC1
U+4CAA U+29FDB
U+21251 U+21269
U+215FB U+2475F
U+22056 U+24727
U+24CE6 U+248C2
U+26A10 U+26A1A
U+29871 U+29877
U+20F96 U+5668
U+2592E U+7A81
U+26900 U+81ED
U+29516 U+985E
U+3094D U+72CA	*
U+21619 U+730B	*

# Group: UCV-241 (者)
U+7DD2 U+7DD6

# Group: UCV-242 (杀・𣏂)
U+5239 U+524E
U+5F11 U+5F12
U+699D U+6A27
U+6740 U+233C2
U+28416 U+28418
U+28985 U+289BE
U+29CBA U+29CD8
U+29CC3 U+29CD9

# Group: UCV-243 (免・兔)
U+5B0E U+5B14
U+514D U+5154
U+5195 U+20564
U+51C2 U+205DF
U+5A29 U+5A4F
U+21A1A U+5BC3
U+633D U+22BC2
U+689A U+3B78
U+83AC U+83DF
U+9BB8 U+29E03
U+20B0D U+3559
U+2190E U+3736
U+20824 U+20825
U+25999 U+259B1
U+25C43 U+25CFF
U+298E6 U+298EE
U+29F83 U+29F85
U+284DC U+9038	*
U+30272 U+580D	*
U+20CB6 U+301F3	*
U+2E514 U+2E51B	*
U+2918A U+4A32	*

# Group: UCV-244 (莧・萈)
U+83A7 U+8408
U+263BD U+263CA

# Group: UCV-246 (豕・豖)
U+3B6C U+6913
U+23D60 U+6DBF
U+7BF4 U+25CE4
U+8C55 U+8C56
U+8C5A U+4401
U+8C5B U+27C35
U+8C70 U+23AD4
U+21C70 U+3798
U+45B6 U+2732E
U+28D2F U+49A0
U+26387 U+2639C
U+27C4E U+27C67
U+27C53 U+27C66
U+24968 U+7422
U+2B980 U+5262	*

# Group: UCV-247 (叉・㕚)
U+53C9 U+355A
U+4011 U+25117
U+809E U+2E30B	*

# Group: UCV-248 (丈・𠀋)
U+4E08 U+2000B

# Group: UCV-249 (九・丸)
U+9AA9 U+9AAB
U+4E5D U+4E38
U+341C U+20083

# Group: UCV-250 (尢・尤)
U+20A47 U+5396
U+216EA U+5A0F
U+5C22 U+5C24
U+21BCE U+5C28
U+27291 U+86D6
U+27969 U+8A27
U+26CE8 U+44FC
U+21BD9 U+21BDF
U+21BE4 U+21BEE
U+21BFA U+29463
U+21C0D U+21C13
U+21C0E U+29FB5
U+21C17 U+21C1C
U+26B0D U+26B13

# Group: UCV-251 (单・単)
U+5355 U+5358
U+5F39 U+5F3E
U+229D0 U+6226

# Group: UCV-252 (王・玉)
U+56EF U+56FD
U+5321 U+5324
U+6282 U+22ADB
U+6A4D U+2371D
U+738B U+7389
U+73A8 U+73CF
U+73B4 U+24919
U+23202 U+741E
U+748B U+24A3C
U+24A79 U+74A7
U+7B50 U+7B7A
U+869F U+27263
U+958F U+95A0
U+98EA U+296BD
U+9CFF U+29FF1
U+34D8 U+24954
U+24985 U+3ED7
U+3F01 U+24A7A
U+20FBD U+2100A
U+21260 U+212A9
U+248D4 U+248D7
U+24992 U+24982
U+24ACA U+2919C
U+2867C U+2869D
U+73A8 U+24934	*
U+73CF U+24934	*
U+21B00 U+21B0F	*
U+3124D U+2CE03	*
U+266E2 U+8158	*

# Group: UCV-254 (曳・曵)
U+66F3 U+66F5
U+2263D U+22695
U+2493A U+2495F

# Group: UCV-255 (𣎳・朮)
U+233B3 U+672E
U+3CC8 U+6CAD	*
U+24742 U+2475E	*

# Group: UCV-256 (友・犮)
U+629C U+62D4
U+9AEA U+9AEE
U+53CB U+72AE
U+216C0 U+59AD
U+2504A U+76CB
U+26413 U+7FC7
U+26653 U+80C8
U+82C3 U+8307
U+29D7C U+9B81
U+39DE U+22B0C
U+221EC U+221F7
U+4620 U+889A	*

# Group: UCV-258 (𥬑・筑)
U+25B11 U+7B51

# Group: UCV-260 (⿳十罒心・𢛳)
U+5FB3 U+5FB7
